Last Trade Price,Turnover *,Chg (% Chg),Volume,Trade Day Open,3M Avg Vol,Previous Close,Transaction *,120 Days VWAP,180 Days VWAP,O/S Shares,Market Cap,Beta (Daily),Dividend Yield,Var @ 5% 1M,Vol Wt Avg Price,% Below 52 Wk High,% Above 52 Wk Low,Trade Day Range,wk_52_range,cid
9.64,"1,503,378.00",0.00 (0.00%),"155,600",9.6,"56,303.95",9.64,31,9.85,9.77,"136,484,000","1,315,705,760.00",0.36,0.00%,-3.82%,9.66,10.20%,10.04%,9.60-9.88,8.21-10.20,1066
10.83,"1,554,410.20",0.11 (1.03%),"143,680",10.73,"59,233.82",10.72,15,10.85,10.64,"122,100,000","1,322,343,000.00",0.37,0.00%,-9.07%,10.81,14.35%,10.21%,10.71-10.90,9.75-11.93,824
9.69,"47,876.00",0.16 (1.68%),"5,000",9.46,"18,350.92",9.53,30,9.56,9.56,"200,000,000","1,938,000,000.00",0.39,0.00%,-1.74%,9.57,0.00%,0.00%,9.46-9.70,9.06-10.19,1097
13.05,"1,949,392.05",0.13 (1.01%),"149,815",12.92,"318,550.11",12.92,37,12.54,12.35,"100,000,000","1,305,000,000.00",0.37,0.00%,-5.49%,13.01,6.06%,22.79%,12.92-13.05,9.85-13.61,881
12.54,"176,870.50",0.24 (1.95%),"14,250",12.3,"48,414.82",12.3,23,11.93,11.61,"125,000,000","1,567,500,000.00",0.43,0.00%,-7.29%,12.41,1.06%,22.84%,12.30-12.54,9.91-13.00,734
9.61,"96,144.00",0.30 (3.22%),"10,000",9.3,"6,433.42",9.31,14,9.62,9.58,"125,000,000","1,201,250,000.00",0.2,0.00%,-3.54%,9.61,0.00%,0.00%,9.30-9.85,8.98-10.20,1090
9.85,"145,688.00",-0.20 (-1.99%),"14,610",10,"30,898.79",10.05,15,9.69,9.6,"125,000,000","1,231,250,000.00",0.36,0.00%,-7.05%,9.97,4.12%,22.12%,9.70-10.01,8.65-11.40,736
10.4,"9,061.00",0.30 (2.97%),900,9.81,"29,078.98",10.1,4,10.34,10.19,"84,611,929","879,964,061.60",0.26,0.00%,-6.50%,10.06,7.82%,16.35%,9.81-10.40,8.78-10.71,884
10.22,"399,358.51",-0.18 (-1.73%),"38,847",10.26,"60,352.91",10.4,24,10.24,10.11,"120,000,000","1,226,400,000.00",0.21,0.00%,-5.54%,10.28,6.00%,8.04%,10.15-10.43,8.58-10.70,1072
10.2,"33,660.00",0.00 (0.00%),"3,300",10.2,"11,446.51",10.2,6,10.23,10.08,"67,253,260","685,983,252.00",0.28,0.00%,-9.25%,10.2,8.23%,12.44%,10.20-10.20,8.79-11.31,833
9.83,"72,968.50",-0.15 (-1.50%),"7,450",9.77,"20,989.04",9.98,11,9.73,9.6,"125,000,000","1,228,750,000.00",0.5,0.00%,-11.37%,9.79,1.49%,24.40%,9.77-9.85,8.82-12.03,720
10.2,"586,000.00",0.01 (0.10%),"57,000",10.3,"37,733.89",10.19,8,10.01,9.73,"150,000,000","1,530,000,000.00",0.36,0.00%,-9.11%,10.28,3.24%,24.53%,10.20-10.30,8.60-11.53,197
10.2,"9,155.00",0.19 (1.90%),900,10.12,"7,180.26",10.01,4,10.34,10.25,"86,000,000","877,200,000.00",0.34,0.00%,-6.90%,10.17,10.59%,16.26%,10.12-10.20,9.40-11.74,200
10.71,"247,161.25",-0.11 (-1.02%),"23,015",10.9,"11,720.70",10.82,7,10.14,9.81,"120,000,000","1,285,200,000.00",0.33,0.00%,-8.00%,10.73,3.53%,21.95%,10.70-10.90,8.90-11.70,199
11.2,"333,789.80",0.09 (0.81%),"29,832",11.11,"6,326.96",11.11,9,10.5,10.05,"80,580,000","902,496,000.00",0.43,0.00%,-10.09%,11.18,6.02%,24.39%,11.00-11.20,8.50-11.46,878
10.17,"307,125.00",0.12 (1.19%),"30,400",10.05,"14,603.67",10.05,24,9.85,9.66,"120,000,000","1,220,400,000.00",0.38,0.00%,-8.85%,10.1,4.62%,26.37%,10.05-10.19,8.60-11.99,629
